,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
878,Lamborghini,Aventador,S,47467700,6498 cc,12.0,4.0,4WD,V,BS IV,"Front, Longitudinal",Injection,90,Petrol,1136,4797,2030,Coupe,2.0,3.6,5,5 km/litre,,1575 kg,7,100 mm,Ventilated Disc,Ventilated Disc,Push rod magneto-rheologic active,Horizontal dampers and springs,1720 mm,1700 mm,255/30 ZR20,355/25 ZR21,Hydraulic Power,Only Front Windows,Yes,Yes,740PS@8400rpm,690Nm@5500rpm,Analog,Digital,Digital,Yes,2.0,Leather,Automatic,2700 mm,355/25 ZR21,,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,110 litres,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Internal,Yes,Automatic,Analog,Yes,,,Driver Only,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,Front Row,,"Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Driver frontal airbag",Yes,Yes,Yes,,6.0,11.8:1,"Rake, Reach",,Air Conditioner : Standard,Yes,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,,Yes,,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
879,,Rolls-Royce Dawn,Convertible,59216193,6598 cc,12.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80,Petrol,1502,5285,1947,Convertible,2.0,7.9,7.9,7.9 km/litre,,2608 kg,8,208 mm,Ventilated Disc,Ventilated Disc,Double wishbone front axle,Multi Link rear axle,1662 mm,1668 mm,255 / 45 R20,285/40 R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,571PS@6000RPM,780Nm@1500-5000RPM,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3112 mm,R20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,"Internal, With Remote",460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,2958 kg,"Drive side airbag, Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Driver head airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
880,,Rolls-Royce Drophead Coupe,Phantom,83755383,6749 cc,12.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Transverse",Injection,100,Petrol,1638,5842,1990,Convertible,2.0,4.38,4.38,9.8 km/litre,,2649 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50 R21,285 / 45 R21,Electro-Hydraulic,All Windows,Yes,Smart Key,453PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,3570 mm,R21,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,"Internal, With Remote",460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,6.55 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3109 kg,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,11:1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,"Cup Holders, Audio Controls",Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
881,Maruti Suzuki,Omni,5 Str Bs-Iv,282778,796 cc,3.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,35,Petrol,1640,3370,1410,MPV,5.0,13,14.7,16.8 km/litre,,785 kg,4,165 mm,Solid Disc,Drum,McPherson Strut,Leaf spring with Shock absorbers,1205 mm,1190 mm,145R 12 LT 6PR,145R 12 LT 6PR,,,,,34.7PS@5000rpm,59Nm@2500rpm,Analog,Analog,Not on offer,,5.0,Fabric,Manual,1840 mm,R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,525 litres,,,Yes,,Front,,Front & Rear,,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Analog,Manual,Analog + Digital,,4.1 meter,Yes,Co-Driver Only,Not Applicable,,,,,,,,,,,,,,,,,,Yes,NA kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Maruti Suzuki,Omni,E 8 Str Bs-Iv,284485,796 cc,3.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,36,Petrol,1640,3370,1410,MPV,5.0,13,14.7,16.8 km/litre,,785 kg,4,165 mm,Solid Disc,Drum,McPherson Strut,Leaf spring with Shock absorbers,1205 mm,1190 mm,145R 12 LT 6PR,145R 12 LT 6PR,,,,,34.7PS@5000rpm,59Nm@2500rpm,Analog,Analog,Not on offer,,8.0,Fabric,Manual,1840 mm,R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,525 litres,,,Yes,,Front,,Front & Rear,,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Analog,Manual,Analog + Digital,,4.1 meter,Yes,Co-Driver Only,Not Applicable,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,,Go+,Datsun D,412292,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,12.8,17.9,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,,Only Front Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,Not on offer,,Yes,2 years / Unlimited Kms,,Internal,347 litres,,Yes,Yes,Digital,Yes,Yes,Yes,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,Not Applicable,Heater,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Front passenger frontal airbag,Yes,Yes,Yes,Yes,2.0,,,,,Rear sensors,,,,,,,,Yes,Yes,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
884,,Go+,Datsun T,552656,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,12.8,17.9,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Digital, Analog",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",347 litres,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,Yes,2.0,,,,,Rear sensors,,Yes,,,,Touch Sensitive,,Yes,,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
885,,Go+,Datsun T (O),574448,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,16.3,20,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,Remote,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",347 litres,Yes,Yes,Yes,Digital,"Front, Front & Rear",Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Front passenger frontal airbag, Driver frontal airbag",,Yes,Yes,Yes,2.0,,,,,Rear sensors,,Yes,,,,Touch Sensitive,,Yes,Yes,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
888,,Go+,Datsun T Vdc,593361,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,12.8,17.9,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Digital, Analog",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",347 litres,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,Yes,2.0,,,,,Rear sensors,,Yes,,,,Touch Sensitive,,Yes,,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
889,,Go+,Datsun T (O) Vdc,615153,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,16.3,20,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,Remote,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",347 litres,Yes,Yes,Yes,Digital,"Front, Front & Rear",Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Front passenger frontal airbag, Driver frontal airbag",,Yes,Yes,Yes,2.0,,,,,Rear sensors,,Yes,,,,Touch Sensitive,,Yes,Yes,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
890,,Go+,Datsun T Cvt,658361,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,12.8,17.9,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,,78PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",347 litres,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,Yes,2.0,,,,,Rear sensors,,Yes,,,,,,Yes,,Manual Adjustment,Yes,,,,,,,,,,,,,,,,,,,,,,
891,,Go+,Datsun T (O) Cvt,680153,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1507,3995,1635,MPV,5.0,16.3,20,20.6 km/litre,,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440 mm,1445 mm,155/70R13,155/70R13,Electric Power,All Windows,,Remote,78PS@5000rpm,104Nm@4000rpm,Digital,Analog,"Analog, Digital",2,7.0,Fabric,Manual,2450 mm,155/70R13,,Yes,USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",347 litres,Yes,Yes,Yes,Digital,"Front, Front & Rear",Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Front passenger frontal airbag, Driver frontal airbag",,Yes,Yes,Yes,2.0,,,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,,Yes,Yes,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
892,Fiat,Punto Evo Pure,1.2L Fire Dynamic,482330,1172 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45,Petrol,1525,3987,1687,Hatchback,5.0,12,15,15 km/litre,,1165 kg,5,195 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Torsion beam & coil spring,,,165/80R14,165/80R14,Hydraulic Power,All Windows,,,68PS@6000rpm,96Nm@2500RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2510 mm,165/80R14,,,CD Player with USB & Aux-in,,,,,Internal,280 litres,,Yes,Yes,Digital,Front,,Front & Rear,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,5 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,,,,,,,Yes,,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,586428,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,Petrol,1520,3765,1660,Hatchback,5.0,18.9,18.9,18.9 km/litre,,1003 kg,5,165 mm,Solid Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,All Windows,,Remote,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2425 mm,165/65R14,,2,CD/MP3 Player,,,"3 years / 100,000 Kms",Yes,Internal,256 litres,,Yes,Yes,,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,,1042 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,2.0,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
914,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz,620637,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,Petrol,1520,3765,1660,Hatchback,5.0,18.9,19.77,19.77 km/litre,,1003 kg,5,165 mm,Solid Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,All Windows,,Remote,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2425 mm,165/65R14,,2,USB & Aux-in,Yes,,"3 years / 100,000 Kms",Yes,"Internal, With Remote",256 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,,1420 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,
915,Hyundai,Grand I10,1.2 Kappa Vtvt Magna At,652328,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,Petrol,1520,3765,1660,Hatchback,5.0,18.9,17.49,17.49 km/litre,,,5,165 mm,Solid Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65 R14,165/65 R14,Electric Power,All Windows,,Remote,83PS@6000rpm,114Nm@4000rpm,,Analog,Analog,Yes,5.0,Fabric,Automatic,2425 mm,165/65R14,,Yes,CD/MP3 Player,Yes,,"3 years / 100,000 Kms",Yes,Internal,256 litres,Yes,Yes,Yes,,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog,Yes,5.2 meter,,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,,,Electric Power Steering Manual AC With Heater Tinted Glass Front Power Outlet Front Power Windows Internally Adjustable ORVM Front Washer & Wiper,,,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
916,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz At,705538,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,Petrol,1520,3765,1660,Hatchback,5.0,18.9,17.49,17.49 km/litre,,1003 kg,5,165 mm,Solid Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,All Windows,,Remote,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Automatic,2425 mm,165/65R14,,2,USB & Aux-in,Yes,,"3 years / 100,000 Kms",Yes,"With Remote, Internal",256 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,Second Row,1420 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors with camera,,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,,,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,
917,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz Dual Tone,640537,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,Petrol,1520,3765,1660,Hatchback,5.0,18.9,19.77,19.77 km/litre,,1003 kg,5,165 mm,Solid Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,All Windows,,Remote,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2425 mm,165/65R14,,2,USB & Aux-in,Yes,,"3 years / 100,000 Kms",Yes,"With Remote, Internal",256 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,Second Row,1420 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,
919,Fiat,Linea Classic,1.3 Multijet,751203,1248 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1487,4560,1730,Sedan,4.0,16.2,19.5,19.5 km/litre,,1210 kg,5,185 mm,Ventilated Disc,Drum,"Independent Wheel, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar","Torsion Beam, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar",,,175/70R14,175/70R14,Hydraulic Power,All Windows,,,76PS@4000RPM,197Nm@1750RPM,Digital,Analog,Analog,Yes,5.0,Vinyl,Manual,2603 mm,175/70R14,,,Not on offer,,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",,Internal,500 litres,,,Yes,Digital,Not on offer,,,Yes,2 Years /150000 Kms (Whichever comes earlier),,Internal,Analog,Manual,Analog + Digital,Yes,5.4 meter,,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,All Rows,,,,,,,,,Rake,,,,Yes,,,,,,,Yes,,Manual Adjustment,,,,,,,,,,Yes,,,,,,,,,,,,,
920,Fiat,Linea Classic,1.4,646336,1368 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1487,4560,1730,Sedan,4.0,11.4,14.9,14.9 km/litre,,1180 kg,5,185 mm,Ventilated Disc,Drum,"Independent Wheel, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar","Torsion Beam, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar",,,175/70R14,175/70R14,Hydraulic Power,All Windows,,,90PS@6000rpm,115Nm@4500RPM,Digital,Analog,Analog,Yes,5.0,Vinyl,Manual,2603 mm,175/70R14,,,Not on offer,,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",,Internal,500 litres,,,Yes,Digital,Not on offer,,,Yes,2 Years /150000 Kms (Whichever comes earlier),,Internal,Analog,Manual,Analog + Digital,Yes,5.4 meter,,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,Rake,,,,Yes,,,,,,,Yes,,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
921,Fiat,Linea Classic,Plus 1.3 Multijet,808558,1248 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1487,4560,1730,Sedan,4.0,16.2,19.5,19.5 km/litre,,1210 kg,5,185 mm,Ventilated Disc,Drum,"Independent Wheel, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar","Torsion Beam, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar",,,175/70R14,175/70R14,Hydraulic Power,All Windows,,,76PS@4000RPM,197Nm@1750RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2603 mm,175/70R14,,Yes,CD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",,Internal,500 litres,Yes,Yes,Yes,Digital,"Not on offer, Front & Rear",,Front & Rear,Yes,2 Years /150000 Kms (Whichever comes earlier),Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.4 meter,,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,,,Yes,,,,,,Rake,,,,Yes,Yes,,,Yes,,,Yes,,Manual Adjustment,,,,Cup Holders,,,,,,Yes,,,,,,,,,,,,,
